position;price;units
GBPUSDbuy;1.29077;774
GBPUSDbuy;1.29078;774
GBPUSDbuy;1.29103;774
EURUSDbuy;1.17861;848
GBPUSDbuy;1.29095;774
EURUSDbuy;1.17878;848
GBPUSDbuy;1.29072;774
GBPUSDbuy;1.29079;774
GBPUSDbuy;1.29084;774
EURUSDbuy;1.1786;848
GBPUSDbuy;1.29064;774
GBPUSDbuy;1.29044;774
GBPUSDbuy;1.29039;774
EURUSDbuy;1.17808;848
EURUSDbuy;1.1779;848
GBPUSDbuy;1.29034;774
GBPUSDbuy;1.29034;774
GBPUSDbuy;1.29052;774
GBPUSDbuy;1.29056;774
EURUSDbuy;1.17821;848
EURUSDbuy;1.17837;848
GBPUSDbuy;1.29033;774
EURUSDbuy;1.17812;848
EURUSDbuy;1.17813;848
EURUSDbuy;1.17791;848
GBPUSDbuy;1.28991;775
GBPUSDbuy;1.28983;775
EURUSDbuy;1.17791;848
GBPUSDbuy;1.28983;775
GBPUSDbuy;1.28984;775
EURUSDbuy;1.178;848
GBPUSDbuy;1.28987;775
GBPUSDbuy;1.28985;775
GBPUSDbuy;1.28979;775
GBPUSDbuy;1.28971;775
GBPUSDbuy;1.2896;775
GBPUSDbuy;1.2898;775
GBPUSDbuy;1.28991;775
EURUSDbuy;1.17783;849
GBPUSDbuy;1.28969;775
GBPUSDbuy;1.28963;775
GBPUSDbuy;1.28967;775
GBPUSDbuy;1.28944;775
GBPUSDbuy;1.28933;775
GBPUSDbuy;1.28932;775
GBPUSDbuy;1.28935;775
GBPUSDbuy;1.28936;775
EURUSDbuy;1.17737;849
GBPUSDbuy;1.28928;775
GBPUSDbuy;1.28924;775
GBPUSDbuy;1.28933;775
GBPUSDbuy;1.28922;775
GBPUSDbuy;1.2891;775
GBPUSDbuy;1.28919;775
GBPUSDbuy;1.28909;775
GBPUSDbuy;1.28924;775
GBPUSDbuy;1.2891;775
GBPUSDbuy;1.28927;775
GBPUSDbuy;1.28933;775
GBPUSDbuy;1.28933;775
EURUSDbuy;1.17756;849
GBPUSDbuy;1.2892;775
GBPUSDbuy;1.28928;775
GBPUSDbuy;1.28917;775
GBPUSDbuy;1.28919;775
GBPUSDbuy;1.28918;775
GBPUSDbuy;1.28899;775
GBPUSDbuy;1.28898;775
AUDUSDbuy;0.79439;1258
GBPUSDbuy;1.28885;775
GBPUSDbuy;1.28894;775
GBPUSDbuy;1.28898;775
GBPUSDbuy;1.28915;775
AUDUSDbuy;0.79468;1258
AUDUSDbuy;0.79472;1258
EURUSDbuy;1.17595;850
EURUSDbuy;1.17616;850
GBPUSDbuy;1.28874;775
AUDUSDbuy;0.7944;1258
AUDUSDbuy;0.79431;1258
AUDUSDbuy;0.79466;1258
AUDUSDbuy;0.7946;1258
