action;price;state
buyEURUSD;1.17358;(0, -1, 0)
buyAUDUSD;0.78405;(0, -1, 0)
buyGBPUSD;1.28572;(0, -1, 0)
buyEURUSD;1.17311;(0, -1, 0)
buyGBPUSD;1.28585;(0, -1, 0)
buyAUDUSD;0.78391;(0, -1, 0)
nothing;0.0;(0, -1, 0)
buyAUDUSD;0.78385;(0, -1, 0)
buyEURUSD;1.17311;(0, -1, 0)
buyGBPUSD;1.28602;(0, -1, 0)
buyEURUSD;1.17324;(0, -1, 0)
buyEURUSD;1.17346;(0, -1, 0)
buyGBPUSD;1.28683;(0, -1, 0)
buyEURUSD;1.17354;(0, -1, 0)
buyGBPUSD;1.28674;(0, -1, 0)
buyGBPUSD;1.28711;(0, -1, 0)
buyAUDUSD;0.78447;(0, -1, 0)
buyAUDUSD;0.78436;(0, -1, 0)
buyEURUSD;1.17329;(0, -1, 0)
buyEURUSD;1.17324;(0, -1, 0)
nothing;0.0;(0, -1, 0)
buyGBPUSD;1.28689;(0, -1, 0)
buyEURUSD;1.17399;(0, -1, 0)
buyEURUSD;1.17416;(0, -1, 0)
buyEURUSD;1.1739;(0, -1, 0)
buyGBPUSD;1.28712;(0, -1, 0)
buyGBPUSD;1.28728;(0, -1, 0)
sellEURUSD;1.17434;(0, -1, 0)
buyAUDUSD;0.78475;(0, -1, 0)
buyEURUSD;1.17446;(0, -1, 0)
buyAUDUSD;0.78463;(0, -1, 0)
buyAUDUSD;0.78471;(0, -1, 0)
sellAUDUSD;0.78479;(-1, -1, 0)
buyGBPUSD;1.28786;(-1, -1, 0)
buyAUDUSD;0.78498;(-1, -1, 0)
buyGBPUSD;1.28723;(-1, -1, 0)
buyAUDUSD;0.78473;(-1, -1, 0)
buyGBPUSD;1.28711;(-1, -1, 0)
buyAUDUSD;0.78487;(-1, -1, 0)
buyAUDUSD;0.78504;(-1, -1, 0)
buyGBPUSD;1.28693;(-1, -1, 0)
buyGBPUSD;1.28654;(-1, -1, 0)
nothing;0.0;(-1, -1, 0)
buyGBPUSD;1.28629;(-1, -1, 0)
buyEURUSD;1.17566;(-1, -1, 0)
buyAUDUSD;0.78532;(-1, -1, 0)
nothing;0.0;(-1, -1, 0)
nothing;0.0;(-1, -1, 0)
buyEURUSD;1.17549;(-1, -1, 0)
buyEURUSD;1.17538;(-1, -1, 0)
buyEURUSD;1.17522;(-1, -1, 0)
buyGBPUSD;1.28579;(-1, -1, 0)
nothing;0.0;(-1, -1, 0)
buyGBPUSD;1.28584;(-1, -1, 0)
buyEURUSD;1.17522;(-1, -1, 0)
buyAUDUSD;0.78503;(-1, -1, 0)
buyEURUSD;1.17531;(-1, -1, 0)
nothing;0.0;(-1, -1, 0)
buyEURUSD;1.1748;(0, -1, 1)
buyGBPUSD;1.28471;(0, -1, 1)
nothing;0.0;(0, -1, 1)
nothing;0.0;(0, -1, 1)
buyGBPUSD;1.28466;(1, -1, 2)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78482;(1, -1, 1)
buyEURUSD;1.17196;(1, -1, 1)
nothing;0.0;(1, -1, 2)
buyEURUSD;1.17119;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17005;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78569;(1, -1, 1)
buyAUDUSD;0.78576;(1, -1, 1)
buyEURUSD;1.17101;(1, -1, 0)
buyEURUSD;1.17095;(1, -1, 0)
buyAUDUSD;0.7858;(1, -1, 0)
buyEURUSD;1.17101;(1, -1, 0)
buyEURUSD;1.17102;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28565;(1, -1, 0)
buyAUDUSD;0.78596;(1, -1, 0)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78579;(1, -1, 1)
buyGBPUSD;1.28544;(1, -1, 1)
sellAUDUSD;0.78621;(1, -1, 0)
buyGBPUSD;1.28562;(1, -1, 0)
buyEURUSD;1.17136;(1, -1, 1)
buyAUDUSD;0.78613;(1, -1, 0)
buyGBPUSD;1.28545;(1, -1, 1)
buyEURUSD;1.17151;(1, -1, 0)
nothing;0.0;(1, -1, 0)
sellGBPUSD;1.2884;(1, -1, 0)
buyAUDUSD;0.78612;(1, -1, -1)
buyGBPUSD;1.28921;(0, -1, -1)
buyAUDUSD;0.78624;(1, -1, -1)
nothing;0.0;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyGBPUSD;1.28922;(1, -1, -1)
buyGBPUSD;1.28974;(1, -1, -1)
buyEURUSD;1.17198;(1, -1, -1)
buyGBPUSD;1.28954;(1, -1, -1)
nothing;0.0;(0, -1, -1)
buyEURUSD;1.17368;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.2895;(0, -1, -1)
buyGBPUSD;1.28957;(0, -1, -1)
buyAUDUSD;0.78614;(0, -1, -1)
buyAUDUSD;0.78627;(0, -1, -1)
buyGBPUSD;1.28955;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78649;(0, -1, -1)
buyAUDUSD;0.78646;(0, -1, -1)
buyGBPUSD;1.28937;(0, -1, -1)
buyAUDUSD;0.78644;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.2891;(0, -1, -1)
buyAUDUSD;0.78645;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78642;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.2892;(0, -1, -1)
buyAUDUSD;0.78623;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78645;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyEURUSD;1.17326;(0, -1, -1)
buyEURUSD;1.17364;(0, -1, -1)
buyEURUSD;1.17336;(0, -1, -1)
buyAUDUSD;0.78612;(0, -1, -1)
buyGBPUSD;1.28942;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.28906;(0, -1, -1)
buyAUDUSD;0.78612;(0, -1, -1)
buyAUDUSD;0.78613;(0, -1, -1)
buyEURUSD;1.17351;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.28953;(0, -1, -1)
sellEURUSD;1.1737;(0, -1, -1)
buyEURUSD;1.17362;(0, -1, -1)
buyGBPUSD;1.28971;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78653;(0, -1, -1)
buyGBPUSD;1.28966;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.28935;(0, -1, -1)
nothing;0.0;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.28951;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78635;(0, -1, -1)
buyGBPUSD;1.28934;(0, -1, -1)
buyAUDUSD;0.78631;(0, -1, -1)
buyGBPUSD;1.2893;(0, -1, -1)
buyEURUSD;1.17339;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78636;(0, -1, -1)
buyAUDUSD;0.78626;(0, -1, -1)
buyAUDUSD;0.78632;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyEURUSD;1.17326;(0, -1, -1)
buyEURUSD;1.1732;(0, -1, -1)
buyAUDUSD;0.78624;(0, -1, -1)
buyEURUSD;1.17297;(0, -1, -1)
buyAUDUSD;0.78622;(0, -1, -1)
buyAUDUSD;0.7863;(0, -1, -1)
nothing;0.0;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.78644;(0, -1, -1)
buyAUDUSD;0.7864;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyEURUSD;1.1735;(0, -1, -1)
buyGBPUSD;1.2891;(0, -1, -1)
buyGBPUSD;1.28881;(0, -1, -1)
buyGBPUSD;1.28906;(0, -1, -1)
buyEURUSD;1.17304;(0, -1, -1)
buyEURUSD;1.17303;(0, -1, -1)
buyAUDUSD;0.78665;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyGBPUSD;1.28862;(0, -1, -1)
buyGBPUSD;1.28839;(0, -1, -1)
buyGBPUSD;1.28847;(0, -1, -1)
nothing;0.0;(0, -1, -1)
buyAUDUSD;0.7862;(1, -1, -1)
buyGBPUSD;1.28837;(1, -1, -1)
buyEURUSD;1.17182;(1, -1, -1)
buyEURUSD;1.17104;(1, -1, -1)
buyEURUSD;1.17084;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyAUDUSD;0.78623;(1, -1, -1)
buyEURUSD;1.17069;(1, -1, 0)
buyAUDUSD;0.7861;(1, -1, -1)
buyEURUSD;1.17086;(1, -1, -1)
buyEURUSD;1.17068;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyEURUSD;1.17057;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyEURUSD;1.17069;(1, -1, -1)
buyGBPUSD;1.28827;(1, -1, -1)
buyAUDUSD;0.78577;(1, -1, -1)
buyEURUSD;1.17088;(1, -1, -1)
nothing;0.0;(1, -1, -1)
buyGBPUSD;1.28843;(1, -1, -1)
buyGBPUSD;1.28818;(1, -1, -1)
buyEURUSD;1.17066;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28782;(1, -1, -1)
buyGBPUSD;1.2877;(1, -1, 0)
buyGBPUSD;1.28767;(1, -1, 0)
buyGBPUSD;1.28753;(1, -1, 0)
