 Gain/Loss_nreal Gain/Loss_real USD USD_net time
0 0.0 0.0 1000.0 1000.0 0.0
1 -0.064 0.0 1000.0 999.936 1.0
2 -0.0464 0.0 1000.0 999.9536 2.0
3 -0.18212 0.0 1000.0 999.81788 3.0
4 -0.26744 0.0 1000.0 999.73256 4.0
5 -0.33144 0.0 1000.0 999.66856 5.0
6 -0.31212 0.0 1000.0 999.68788 6.0
7 -0.34438 0.0 1000.0 999.65562 7.0
8 -0.38897 0.0 1000.0 999.61103 8.0
9 -0.48882 0.0 1000.0 999.51118 9.0
10 -0.52047 0.0 1000.0 999.47953 10.0
11 -0.57313 0.0 1000.0 999.42687 11.0
12 -0.66805 0.0 1000.0 999.33195 12.0
13 -0.67435 0.0 1000.0 999.32565 13.0
14 -0.5968 0.0 1000.0 999.4032 14.0
15 -0.68728 0.0 1000.0 999.31272 15.0
16 -0.44061 0.0 1000.0 999.55939 16.0
17 -0.70625 0.0 1000.0 999.29375 17.0
18 -0.78285 0.0 1000.0 999.21715 18.0
19 -1.05697 0.0 1000.0 998.94303 19.0
20 -1.02349 0.0 1000.0 998.97651 20.0
21 -1.94472 0.0 1000.0 998.05528 21.0
22 -2.07004 0.0 1000.0 997.92996 22.0
23 -2.13508 0.0 1000.0 997.86492 23.0
24 -2.23962 0.0 1000.0 997.76038 24.0
25 -2.91998 0.0 1000.0 997.08002 25.0
26 -2.85193 0.0 1000.0 997.14807 26.0
27 -2.89962 0.0 1000.0 997.10038 27.0
28 -3.28785 0.0 1000.0 996.71215 28.0
29 -3.74783 0.0 1000.0 996.25217 29.0
30 -4.40671 0.0 1000.0 995.59329 30.0
31 -4.06486 0.0 1000.0 995.93514 31.0
32 -4.05918 0.0 1000.0 995.94082 32.0
33 -4.20464 0.0 1000.0 995.79536 33.0
34 -4.00375 0.0 1000.0 995.99625 34.0
35 -3.92695 0.0 1000.0 996.07305 35.0
36 -4.21359 0.0 1000.0 995.78641 36.0
37 -4.2475 0.0 1000.0 995.7525 37.0
38 -4.65206 0.0 1000.0 995.34794 38.0
39 -4.89536 0.0 1000.0 995.10464 39.0
40 -4.81167 0.0 1000.0 995.18833 40.0
41 -4.86017 0.0 1000.0 995.13983 41.0
42 -4.42397 0.0 1000.0 995.57603 42.0
43 -4.43752 0.0 1000.0 995.56248 43.0
44 -4.54229 0.0 1000.0 995.45771 44.0
45 -4.35427 0.0 1000.0 995.64573 45.0
46 -4.39037 0.0 1000.0 995.60963 46.0
47 -4.56605 0.0 1000.0 995.43395 47.0
48 -5.025 0.0 1000.0 994.975 48.0
49 -5.18769 0.0 1000.0 994.81231 49.0
50 -5.51484 0.0 1000.0 994.48516 50.0
51 -5.1777 0.0 1000.0 994.8223 51.0
52 -5.25824 0.0 1000.0 994.74176 52.0
53 -5.67722 0.0 1000.0 994.32278 53.0
54 -5.96902 0.0 1000.0 994.03098 54.0
55 -5.4428 0.0 1000.0 994.5572 55.0
56 -5.77997 0.0 1000.0 994.22003 56.0
57 -6.25039 0.0 1000.0 993.74961 57.0
58 -6.78807 0.0 1000.0 993.21193 58.0
